t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
0,101250,22.05,-0.01,-0.01,0.98,0
40,101251,21.99,-0.01,0.01,1.01,0
80,101249,22.00,-0.01,-0.03,0.99,0
120,101247,22.02,0.01,-0.04,0.96,0
160,101249,22.02,-0.01,-0.00,0.99,0
200,101247,22.04,-0.02,-0.01,1.01,0
240,101250,22.02,-0.01,0.01,1.00,0
280,101254,21.97,0.01,0.01,1.00,0
320,101248,22.06,-0.01,0.01,1.00,0
360,101248,21.97,-0.01,0.01,0.99,0
400,101252,22.00,-0.01,-0.01,1.01,0
440,101251,22.13,0.02,0.01,1.01,0
480,101250,22.01,-0.01,-0.01,1.02,0
520,101247,22.01,-0.01,-0.01,1.00,0
560,101250,22.00,0.00,0.00,1.02,0
800,101244,22.06,-0.01,0.01,1.01,0
840,101249,21.93,-0.01,-0.01,1.01,0
880,101246,22.09,-0.01,-0.01,1.00,0
920,101251,22.03,0.01,0.01,1.01,0
960,101250,22.10,0.01,-0.00,0.99,0
1000,101249,22.01,0.01,0.01,1.02,0
1040,101242,22.04,-0.00,0.00,1.02,0
1080,101248,22.07,0.00,-0.01,1.01,0
1120,101250,22.08,-0.01,0.02,0.99,0
1160,101250,22.10,-0.00,0.00,0.99,0
1200,101245,22.03,0.01,-0.00,1.00,0
1240,101248,22.11,0.01,0.00,1.00,0
1280,101247,22.15,-0.00,0.00,1.01,0
1320,101247,22.00,-0.02,0.00,1.01,0
1360,101253,22.08,-0.01,-0.01,1.01,0
1400,101247,22.06,-0.02,0.01,1.00,0
1440,101250,22.09,0.01,0.02,1.01,0
1480,101253,22.07,-0.02,0.00,1.00,0
1520,101248,22.14,0.02,0.01,1.02,0
1560,101249,22.07,-0.00,-0.01,1.00,0
1600,101250,22.09,0.01,-0.01,1.01,0
1640,101250,22.20,-0.02,-0.00,1.00,0
1680,101246,22.13,0.02,0.01,1.00,0
1720,101250,22.04,-0.00,-0.00,1.00,0
1760,101254,22.04,0.02,-0.01,1.01,0
