zaman_s,irtifa_m,olay
0.00,1,
0.05,0,
0.10,0,
0.15,0,
0.20,0,
0.25,-1,
0.30,1,
0.35,0,
0.40,0,
0.45,0,
0.50,0,
0.55,0,
0.60,0,
0.65,0,
0.70,0,
0.75,0,
0.80,0,
0.85,0,
0.90,0,
0.95,0,
1.00,0,
1.05,0,
1.10,0,
1.15,-1,
1.20,0,
1.25,0,
1.30,0,
1.35,0,
1.40,0,
1.45,0,
1.50,0,
1.55,0,
1.60,0,
1.65,0,
1.70,0,
1.75,0,
1.80,0,
1.85,0,
1.90,0,
1.95,0,
2.00,-1,
2.05,0,
2.10,0,
2.15,1,
2.20,0,
2.25,0,
2.30,0,
2.35,-1,
2.40,0,
2.45,0,
2.50,0,
2.55,0,
2.60,0,
2.65,0,
2.70,0,
2.75,0,
2.80,0,
2.85,0,
2.90,0,
2.95,0,
3.00,0,
3.05,0,
3.10,0,
3.15,0,
3.20,0,
3.25,0,
3.30,0,
3.35,0,
3.40,0,
3.45,0,
3.50,0,
3.55,0,
3.60,-1,
3.65,0,
3.70,0,
3.75,0,
3.80,0,
3.85,0,
3.90,0,
3.95,1,
4.00,0,
4.05,0,
4.10,0,
4.15,0,
4.20,1,
4.25,0,
4.30,0,
4.35,0,
4.40,0,
4.45,0,
4.50,0,
4.55,0,
4.60,0,
4.65,0,
4.70,0,
4.75,0,
4.80,0,
4.85,0,
4.90,0,
4.95,0,
5.00,0,
5.05,-1,
5.10,0,
5.15,0,
5.20,0,
5.25,0,
5.30,0,
5.35,0,
5.40,0,
5.45,0,
5.50,0,
5.55,0,
5.60,0,
5.65,0,
5.70,0,
5.75,0,
5.80,0,
5.85,0,
5.90,0,
5.95,0,
6.00,0,
6.05,0,
6.10,0,
6.15,0,
6.20,1,
6.25,0,
6.30,0,
6.35,0,
6.40,0,
6.45,0,
6.50,0,
6.55,0,
6.60,0,
6.65,0,
6.70,0,
6.75,1,
6.80,0,
6.85,0,
6.90,0,
6.95,0,
7.00,0,
7.05,0,
7.10,-1,
7.15,0,
7.20,1,
7.25,0,
7.30,0,
7.35,0,
7.40,0,
7.45,0,
7.50,0,
7.55,0,
7.60,0,
7.65,0,
7.70,0,
7.75,1,
7.80,0,
7.85,-1,
7.90,0,
7.95,0,
8.00,1,
8.05,0,
8.10,0,
8.15,0,
8.20,0,
8.25,0,
8.30,0,
8.35,0,
8.40,0,
8.45,0,
8.50,0,
8.55,0,
8.60,0,
8.65,0,
8.70,0,
8.75,0,
8.80,0,
8.85,0,
8.90,0,
8.95,0,
9.00,-1,
9.05,0,
9.10,0,
9.15,0,
9.20,0,
9.25,0,
9.30,0,
9.35,0,
9.40,0,
9.45,-1,
9.50,0,
9.55,0,
9.60,0,
9.65,0,
9.70,0,
9.75,-1,
9.80,0,
9.85,0,
9.90,0,
9.95,0,
10.00,0,
10.05,-1,
10.10,0,
10.15,0,
10.20,0,
10.25,0,
10.30,0,
10.35,0,
10.40,0,
10.45,0,
10.50,0,
10.55,0,
10.60,0,
10.65,0,
10.70,0,
10.75,0,
10.80,0,
10.85,0,
10.90,0,
10.95,0,
11.00,0,
11.05,-1,
11.10,0,
11.15,0,
11.20,-1,
11.25,0,
11.30,0,
11.35,0,
11.40,-1,
11.45,0,
11.50,0,
11.55,0,
11.60,0,
11.65,0,
11.70,-1,
11.75,0,
11.80,0,
11.85,1,
11.90,0,
11.95,0,
12.00,0,
12.05,0,
12.10,0,
12.15,0,
12.20,0,
12.25,0,
12.30,0,
12.35,0,
12.40,0,
12.45,0,
12.50,-1,
12.55,-1,
12.60,0,
12.65,0,
12.70,0,
12.75,0,
12.80,0,
12.85,0,
12.90,0,
12.95,0,
13.00,0,
13.05,0,
13.10,1,
13.15,0,
13.20,0,
13.25,0,
13.30,-1,
13.35,0,
13.40,0,
13.45,0,
13.50,0,
13.55,0,
13.60,0,
13.65,0,
13.70,0,
13.75,0,
13.80,0,
13.85,0,
13.90,0,
13.95,0,
14.00,1,
14.05,0,
14.10,0,
14.15,0,
14.20,0,
14.25,0,
14.30,0,
14.35,0,
14.40,0,
14.45,0,
14.50,0,
14.55,0,
14.60,0,
14.65,0,
14.70,0,
14.75,0,
14.80,0,
14.85,0,
14.90,0,
14.95,0,
15.00,0,
15.05,0,
15.10,0,
15.15,0,
15.20,0,
15.25,0,
15.30,0,
15.35,0,
15.40,0,
15.45,0,
15.50,0,
15.55,0,
15.60,0,
15.65,0,
15.70,0,
15.75,-1,
15.80,-1,
15.85,-1,
15.90,0,
15.95,0,
16.00,0,
16.05,0,
16.10,0,
16.15,0,
16.20,0,
16.25,0,
16.30,0,
16.35,0,
16.40,0,
16.45,1,
16.50,0,
16.55,-1,
16.60,-1,
16.65,0,
16.70,0,
16.75,0,
16.80,0,
16.85,0,
16.90,0,
16.95,0,
17.00,0,
17.05,-1,
17.10,-1,
17.15,0,
17.20,0,
17.25,0,
17.30,0,
17.35,0,
17.40,0,
17.45,0,
17.50,0,
17.55,0,
17.60,0,
17.65,0,
17.70,0,
17.75,0,
17.80,0,
17.85,-1,
17.90,1,
17.95,-1,
18.00,0,
18.05,0,
18.10,0,
18.15,0,
18.20,0,
18.25,0,
18.30,0,
18.35,0,
18.40,0,
18.45,0,
18.50,0,
18.55,0,
18.60,0,
18.65,0,
18.70,0,
18.75,0,
18.80,0,
18.85,1,
18.90,-1,
18.95,0,
19.00,0,
19.05,0,
19.10,0,
19.15,0,
19.20,-1,
19.25,-1,
19.30,1,
19.35,0,
19.40,0,
19.45,0,
19.50,-1,
19.55,0,
19.60,0,
19.65,0,
19.70,0,
19.75,0,
19.80,0,
19.85,-1,
19.90,0,
19.95,0,
20.00,0,
20.05,0,
20.10,0,
20.15,0,
20.20,-1,
20.25,0,
20.30,0,
20.35,1,
20.40,0,
20.45,-1,
20.50,0,
20.55,0,
20.60,0,
20.65,0,
20.70,0,
20.75,0,
20.80,0,
20.85,0,
20.90,-1,
20.95,-1,
21.00,0,
21.05,0,
21.10,-1,
21.15,0,
21.20,0,
21.25,0,
21.30,0,
21.35,0,
21.40,0,
21.45,0,
21.50,0,
21.55,0,
21.60,0,
21.65,0,
21.70,0,
21.75,0,
21.80,0,
21.85,-1,
21.90,0,
21.95,0,
22.00,1,
22.05,1,
22.10,0,
22.15,0,
22.20,-1,
22.25,0,
22.30,1,
22.35,0,
22.40,0,
22.45,0,
22.50,0,
22.55,0,
22.60,0,
22.65,0,
22.70,0,
22.75,0,
