zaman_ms,irtifa_m,basinc_hPa,ivme_x_g,ivme_y_g,ivme_z_g,sicaklik_C,durum
0,-0.48,905.01,-0.095,0.07,1.026,18.96,0
100,-0.19,905.02,-0.013,-0.011,1.029,19.08,0
200,-0.04,905.0,0.008,-0.031,0.984,19.08,0
300,-0.08,904.93,-0.024,0.033,0.991,18.98,0
400,0.39,905.09,-0.036,0.067,0.951,19.03,0
500,-0.7,905.07,0.042,0.057,0.965,19.1,0
600,-0.31,904.98,0.025,0.044,1.008,18.91,0
700,-0.5,905.07,0.03,0.036,1.087,18.88,0
800,1.54,905.16,0.081,0.041,0.973,19.15,0
900,-0.27,905.0,-0.015,0.014,1.052,18.92,0
1000,-0.59,904.95,-0.048,-0.072,0.963,19.19,0
1100,-0.36,905.01,-0.061,0.008,0.93,18.9,0
1200,1.35,904.97,0.056,0.023,0.994,18.9,0
1300,0.77,904.99,0.076,-0.036,1.002,19.07,0
1400,0.22,904.94,-0.033,-0.01,0.966,19.1,0
1500,0.35,904.9,-0.09,-0.064,1.005,19.3,0
1600,-0.23,905.01,-0.053,-0.052,0.922,19.0,0
1700,0.57,904.98,0.07,0.01,0.999,19.08,0
1800,0.29,905.06,-0.04,-0.114,1.005,18.91,0
1900,-0.02,905.08,-0.055,0.038,1.038,19.07,0
2000,0.67,904.98,-0.034,0.052,1.029,19.21,0
2100,0.13,905.08,-0.014,-0.053,0.919,18.83,0
2200,0.49,904.93,-0.023,0.105,1.034,19.27,0
2300,-0.59,904.88,0.076,-0.071,1.004,19.03,0
2400,-0.57,905.08,0.077,0.028,0.999,19.03,0
2500,-0.66,904.99,-0.005,-0.043,1.034,18.79,0
2600,-0.27,904.89,0.025,0.037,1.025,19.44,0
2700,0.56,904.95,0.133,-0.046,1.032,19.11,0
2800,-0.53,905.07,0.018,0.029,0.973,19.2,0
2900,-0.52,904.91,0.071,-0.021,1.002,19.29,0
3000,1.7,904.92,0.053,-0.036,11.404,19.16,1
3100,3.51,904.66,-0.187,0.028,11.425,18.92,1
3200,6.59,904.36,0.01,-0.074,11.402,19.02,1
3300,10.26,903.91,0.008,0.021,11.495,18.96,1
3400,15.49,903.4,-0.026,0.039,11.547,18.92,1
3500,21.22,902.71,0.043,-0.054,11.544,18.87,2
3600,28.3,901.89,-0.078,-0.055,11.495,18.72,2
3700,36.59,901.02,0.019,-0.009,11.535,18.65,2
3800,45.51,900.04,-0.011,0.081,11.626,18.92,2
3900,57.74,898.89,0.034,0.038,11.578,18.95,2
4000,69.35,897.79,0.033,-0.056,11.501,18.66,2
4100,80.16,896.36,-0.006,0.018,11.564,18.46,2
4200,93.44,895.0,0.009,-0.058,11.533,18.72,2
4300,108.51,893.4,0.005,-0.088,11.394,18.4,2
4400,123.52,891.8,-0.104,-0.063,11.434,18.2,2
4500,140.35,890.16,-0.017,0.023,11.376,18.02,2
4600,157.27,888.28,-0.051,0.057,11.389,17.98,2
4700,176.05,886.21,0.118,0.049,11.278,17.87,2
4800,195.66,884.2,0.014,-0.046,11.227,17.63,2
4900,216.41,882.07,0.013,0.148,11.169,17.64,2
5000,237.36,879.77,0.054,0.08,11.063,17.71,2
5100,259.72,877.38,-0.033,-0.053,10.968,17.41,2
5200,282.64,875.02,0.01,-0.037,10.856,17.17,2
5300,308.1,872.45,-0.038,-0.007,10.813,16.92,2
5400,332.71,869.83,-0.054,-0.009,10.683,17.07,2
5500,358.87,867.14,0.019,-0.056,10.555,16.6,2
5600,386.78,864.28,-0.033,-0.145,10.484,16.54,2
5700,414.77,861.42,-0.016,-0.011,10.425,16.29,2
5800,442.16,858.46,-0.054,0.069,10.347,16.23,2
5900,474.01,855.43,-0.055,0.013,10.173,15.78,2
6000,505.5,852.16,-0.037,0.013,10.087,15.63,2
6100,535.63,848.98,-0.071,-0.039,9.891,15.45,2
6200,567.16,845.86,0.045,0.001,-3.409,15.44,3
6300,598.35,842.69,0.069,-0.05,-3.387,15.11,3
6400,628.57,839.58,-0.03,-0.012,-3.174,15.01,3
6500,659.35,836.43,-0.082,0.073,-3.076,14.84,3
6600,688.01,,0.01,-0.047,-3.07,14.36,3
6700,717.5,830.66,0.083,0.019,-2.901,14.59,3
6800,745.84,827.69,-0.027,-0.005,-2.754,14.1,3
6900,775.6,824.87,0.025,0.034,-2.732,14.08,3
7000,802.55,822.17,0.049,-0.035,-2.654,13.62,3
7100,830.81,819.29,0.036,0.148,-2.54,13.71,3
7200,857.66,816.65,0.059,-0.004,-2.521,13.17,3
7300,884.8,813.87,0.096,0.024,-2.426,13.22,3
7400,911.21,811.33,-0.032,-0.048,-2.385,13.09,3
7500,938.43,808.69,-0.049,0.0,-2.273,12.66,3
7600,964.27,806.17,-0.008,-0.03,-2.182,12.79,3
7700,989.89,803.56,-0.009,0.074,-2.19,12.21,3
7800,1015.17,801.18,0.053,0.007,-2.133,12.56,3
7900,1041.96,798.69,0.022,-0.048,-2.125,12.32,3
8000,1065.26,796.32,0.016,0.043,-2.073,12.13,3
8100,1090.66,794.01,-0.037,-0.056,-1.954,11.78,3
8200,1114.29,791.63,0.022,-0.156,-1.959,11.59,3
8300,1139.5,789.35,0.103,0.035,-1.916,11.43,3
8400,1162.32,787.02,0.063,-0.096,-1.8,11.58,3
8500,1186.58,784.91,0.027,0.002,-1.753,11.21,3
8600,1208.96,782.55,0.058,-0.012,-1.695,11.08,3
8700,1233.57,780.35,0.027,0.038,-1.742,10.96,3
8800,1256.41,778.18,0.07,0.044,-1.719,10.95,3
8900,1277.11,776.06,-0.021,0.001,-1.607,10.73,3
9000,1299.69,773.88,-0.05,0.046,-1.495,10.59,3
9100,1322.42,771.92,-0.068,-0.094,-1.527,10.12,3
9200,1343.47,769.76,-0.031,-0.038,-1.467,10.17,3
9300,1364.41,767.81,0.148,0.025,-1.529,10.14,3
9400,1387.88,765.83,0.064,0.056,-1.368,10.15,3
9500,1407.51,763.84,-0.014,0.006,-1.364,9.66,3
9600,1427.94,761.91,0.005,-0.015,-1.315,9.7,3
9700,1448.43,759.93,-0.039,0.011,-1.31,9.28,3
9800,1469.53,758.07,-0.045,0.056,-1.237,9.34,3
9900,1488.86,756.18,0.041,0.045,-1.27,9.53,3
10000,1509.5,754.39,0.036,-0.083,-1.233,9.23,3
10100,1528.61,752.68,0.016,0.018,-1.246,9.04,3
10200,1547.6,750.9,-0.021,0.006,-1.116,9.04,3
10300,1566.47,749.04,0.036,-0.009,-1.119,8.83,3
10400,1585.52,747.23,0.001,-0.029,-1.089,8.84,3
10500,1605.35,745.51,0.068,0.007,-1.07,8.45,3
10600,1623.69,743.87,0.037,-0.009,-1.058,8.48,3
10700,1641.69,742.13,-0.026,-0.069,-1.028,8.3,3
