t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
0,90652,24.13,-0.21,0.25,0.95,0
40,90658,23.94,0.11,-0.16,0.78,0
80,90652,24.27,0.26,0.45,0.90,0
120,90658,23.93,-0.11,0.14,1.04,0
160,90650,24.13,0.03,0.17,0.96,0
200,90645,24.08,0.20,-0.12,1.00,0
240,90648,24.01,0.44,0.20,1.01,0
280,90641,23.80,0.26,0.21,1.08,0
320,90656,24.09,0.10,0.38,1.14,0
360,90651,23.80,-0.26,0.00,0.89,0
400,90654,24.06,-0.12,0.06,1.05,0
440,90651,24.09,0.02,0.17,1.01,0
480,90650,24.13,-0.03,-0.01,0.95,0
520,90652,24.05,0.09,-0.02,1.08,0
560,90649,23.77,0.09,-0.02,1.14,0
600,90646,23.99,-0.01,-0.14,1.05,0
640,90647,23.95,0.15,0.24,0.95,0
680,90651,23.95,-0.12,0.10,0.97,0
720,90649,24.01,-0.07,0.27,0.98,0
760,90648,23.91,-0.13,-0.03,0.95,0
800,90654,24.18,0.02,-0.02,0.89,0
840,90652,23.88,-0.48,0.11,0.93,0
880,90654,23.92,-0.40,-0.12,1.11,0
920,90654,23.93,-0.14,0.24,0.95,0
960,90647,23.96,-0.05,-0.08,1.08,0
1000,90643,23.87,-0.07,0.07,0.96,0
1040,90651,24.13,-0.38,0.14,1.03,0
1080,90645,23.97,0.11,-0.28,0.98,0
1120,90647,24.02,0.02,0.15,0.90,0
1160,90649,23.99,-0.08,-0.00,0.94,0
1200,90655,23.92,0.12,0.42,1.07,0
1240,90641,24.01,-0.06,-0.25,1.09,0
1280,90654,23.96,0.26,0.05,0.89,0
1320,90655,23.91,-0.35,-0.37,0.95,0
1360,90654,24.07,0.49,-0.39,0.94,0
1400,90653,23.95,0.01,0.11,1.06,0
1440,90652,23.99,-0.05,0.06,0.91,0
1480,90644,24.09,0.11,-0.40,1.03,0
1520,90648,23.99,-0.47,-0.02,1.11,0
1560,90650,24.00,-0.22,0.06,0.97,0
1600,90645,24.05,-0.36,-0.14,0.91,0
1640,90643,24.01,-0.14,-0.14,0.75,0
1680,90647,24.00,-0.13,0.14,1.07,0
1720,90652,24.11,-0.03,0.00,0.93,0
1760,90653,24.09,0.10,-0.42,1.11,0
1800,90653,24.09,0.39,-0.09,1.06,0
1840,90654,24.02,0.03,0.17,1.15,0
1880,90649,23.98,-0.02,0.13,1.02,0
1920,90648,24.24,-0.13,0.00,0.99,0
1960,90652,23.93,-0.01,0.02,0.91,0
2000,90618,23.82,0.50,-0.11,16.00,1
2040,90638,23.85,1.13,0.62,16.00,1
2080,90719,24.13,0.83,-0.59,16.00,1
2120,90620,24.01,-0.35,0.21,16.00,1
2160,0,24.11,-1.03,-0.71,16.00,1
2200,90622,24.08,1.77,0.44,16.00,1
2240,90539,23.71,-0.08,-0.63,16.00,1
2280,90450,23.73,0.44,0.11,16.00,1
2320,90523,24.09,0.02,-0.28,16.00,2
2360,90467,23.89,0.05,-0.03,14.74,2
2400,90376,23.96,-0.58,-0.85,16.00,2
2440,90408,23.91,-1.44,0.13,14.69,2
2480,90292,23.72,0.39,0.30,16.00,2
2520,90340,23.94,0.00,0.08,15.11,2
2560,90330,23.89,-0.05,-1.14,16.00,2
2600,90167,23.53,-0.34,-0.69,16.00,2
2640,90158,23.76,-0.93,1.83,15.37,2
2680,90122,23.73,-0.18,0.94,15.32,2
2720,89989,23.62,0.63,0.10,15.24,2
2760,89987,23.53,0.34,0.24,15.08,2
2800,89919,23.53,0.60,1.48,15.73,2
2840,89816,23.22,-0.12,0.48,15.91,2
2880,89779,23.48,0.12,-0.04,14.40,2
2920,89628,23.27,-0.11,1.07,16.00,2
2960,89611,23.44,-0.35,-0.43,15.72,2
3000,89606,23.41,1.15,-0.63,15.16,2
3040,89606,23.19,0.66,-0.10,14.68,2
3080,89418,23.25,-0.61,-1.43,14.74,2
3120,89276,22.99,1.09,-0.37,15.29,2
3160,89292,23.15,0.54,1.72,15.41,2
3200,89141,23.20,0.04,-0.10,14.69,2
3240,89087,22.99,0.03,-0.41,14.71,2
3280,88952,23.06,0.15,2.16,14.08,2
3320,88862,22.87,-0.88,-0.62,14.87,2
3360,88811,22.91,-1.26,0.54,14.53,2
3400,88705,22.95,-0.40,0.48,14.92,2
3440,88634,22.79,0.37,0.45,14.17,2
3480,88443,22.77,0.74,0.58,12.99,2
3520,88393,22.71,1.08,-0.74,13.42,2
3560,88293,22.62,0.91,0.30,13.65,2
3600,88180,22.51,-0.76,0.49,13.10,2
3640,88107,22.52,-0.68,-0.67,12.95,2
3680,87996,22.41,-0.27,0.47,12.06,2
3720,87855,22.33,0.04,-0.13,13.44,2
3760,87750,22.18,0.38,0.15,12.27,2
3800,87673,22.32,-0.18,-0.73,12.61,2
3840,87465,22.04,-0.65,0.19,11.67,2
3880,87408,22.21,0.18,0.55,12.99,2
3920,87284,21.94,0.20,0.15,12.53,2
3960,86924,21.74,0.76,-0.03,11.94,2
4000,86431,21.76,0.91,-0.78,11.90,2
4040,85998,21.54,0.09,-0.54,11.22,2
4080,85594,21.70,-0.63,-0.74,11.98,2
4120,85156,21.58,-0.10,0.94,10.66,2
4160,84774,21.44,-0.87,-0.56,11.08,2
4200,84415,21.28,0.14,-0.78,11.27,2
4240,84058,21.32,-0.08,0.47,10.51,2
4280,83737,21.34,0.21,1.36,8.29,2
4320,83458,21.17,-0.31,-0.89,7.70,2
4360,83167,21.05,0.02,-0.39,8.90,2
4400,82958,21.05,-0.57,1.42,6.72,2
