t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
0,101245,23.00,-0.01,-0.00,1.00,0
40,101245,22.96,0.01,-0.01,0.99,0
80,101250,23.02,-0.01,0.00,1.01,0
120,101250,22.92,0.02,-0.01,0.99,0
160,101252,22.95,-0.02,0.02,0.99,0
200,101252,23.00,0.00,0.00,0.99,0
240,101248,22.93,-0.01,0.01,1.00,0
280,101249,23.12,0.00,-0.01,0.99,0
320,101250,23.03,-0.00,-0.00,1.00,0
360,101249,23.03,-0.01,0.00,1.00,0
400,101252,22.92,0.00,0.00,1.00,0
440,101251,22.85,-0.01,0.01,1.00,0
480,101248,23.03,-0.01,-0.01,1.01,0
520,101256,22.91,-0.00,-0.01,0.99,0
560,101249,22.97,-0.02,-0.00,1.01,0
600,101241,22.96,0.02,0.01,0.99,0
640,101251,22.98,0.00,0.00,0.99,0
680,101251,22.99,-0.00,-0.01,1.01,0
720,101250,22.94,-0.01,-0.01,0.99,0
760,101251,22.95,-0.02,-0.00,1.00,0
800,101251,23.03,0.01,0.01,1.00,0
840,101255,23.03,-0.00,-0.01,1.03,0
880,101253,23.02,0.01,0.01,1.00,0
920,101251,22.97,0.02,0.00,0.98,0
960,101245,23.09,-0.01,0.00,0.99,0
1000,101252,23.04,-0.01,0.01,1.02,0
1040,101240,22.98,0.01,-0.01,0.98,0
1080,101251,22.96,-0.01,0.01,1.00,0
1120,101246,23.02,0.01,0.01,1.02,0
1160,101255,23.03,0.01,0.01,1.00,0
1200,101246,22.88,0.00,-0.00,1.01,0
1240,101258,23.00,-0.01,-0.01,0.99,0
1280,101247,23.07,0.02,-0.00,1.04,0
1320,101253,22.93,0.01,-0.00,1.00,0
1360,101256,22.97,-0.00,-0.02,1.00,0
1400,101252,22.94,0.00,0.01,1.00,0
1440,101254,22.98,0.01,-0.01,1.00,0
1480,101247,23.01,-0.00,-0.02,1.01,0
1520,101246,22.93,-0.01,-0.03,1.00,0
1560,101254,22.91,-0.00,0.02,1.01,0
1600,101248,22.96,0.00,-0.01,1.03,0
1640,101246,23.05,0.01,-0.02,1.00,0
1680,101250,22.99,-0.01,-0.00,1.01,0
1720,101255,22.98,0.01,0.00,1.01,0
1760,101254,23.08,-0.01,0.01,1.04,0
1800,101254,23.05,-0.01,0.00,1.02,0
1840,101249,23.13,0.00,-0.01,0.99,0
1880,101246,23.07,-0.02,-0.01,1.00,0
1920,101252,23.06,-0.01,-0.00,0.98,0
1960,101248,22.92,0.00,0.01,1.01,0
2000,101254,22.96,-0.01,0.00,0.99,0
2040,101251,22.98,-0.00,0.01,1.00,0
2080,101244,22.97,0.00,0.01,0.98,0
2120,101252,23.03,-0.00,0.01,1.03,0
2160,101251,22.98,0.01,-0.01,1.01,0
2200,101250,22.91,-0.01,0.01,1.02,0
2240,101244,23.00,0.01,0.00,1.02,0
2280,101247,22.93,0.01,-0.01,1.00,0
2320,101252,22.94,0.01,0.00,1.01,0
2360,101246,23.06,-0.01,-0.00,1.00,0
2400,101252,23.02,0.01,-0.00,1.00,0
2440,101250,22.98,-0.00,-0.01,0.99,0
2480,0,23.06,-0.01,-0.00,1.01,0
2520,101246,23.06,0.01,-0.02,0.99,0
2560,101253,22.99,-0.01,-0.01,1.00,0
2600,101250,22.95,0.00,-0.00,1.00,0
2640,101248,23.09,0.00,0.00,1.01,0
2680,101247,23.02,-0.00,-0.01,0.97,0
2720,101254,23.04,0.01,-0.01,0.99,0
2760,101249,22.92,-0.02,0.02,0.98,0
2800,101248,22.95,-0.01,0.00,0.98,0
2840,101245,22.93,0.01,-0.02,1.03,0
2880,101245,23.00,0.00,0.01,0.99,0
2920,101247,22.96,0.02,-0.02,1.01,0
2960,101252,23.03,-0.01,-0.01,1.05,0
3000,101247,23.00,-0.01,-0.00,1.03,0
3040,101250,23.04,0.02,-0.00,0.98,0
3080,101250,23.05,0.00,-0.01,1.03,0
3120,101255,22.97,-0.01,-0.02,1.03,0
3160,101255,22.96,0.01,-0.02,1.03,0
3200,101247,23.02,-0.01,-0.00,1.02,0
3240,101252,22.97,0.01,0.01,0.98,0
3280,101246,23.05,-0.01,0.01,0.98,0
3320,101249,22.98,0.00,0.00,0.99,0
3360,101250,22.94,-0.00,0.00,0.98,0
3400,101253,23.06,0.01,-0.01,1.01,0
3440,101246,23.05,0.01,0.00,1.00,0
3480,101253,23.02,-0.01,0.00,0.99,0
3520,101246,23.09,0.01,0.00,0.99,0
3560,101255,23.02,-0.01,-0.01,0.99,0
3600,101247,22.98,0.01,0.01,0.99,0
3640,101248,22.99,0.01,0.01,1.01,0
3680,101247,22.98,0.00,0.01,1.00,0
3720,101247,22.93,-0.00,-0.00,0.99,0
3760,101253,23.05,-0.00,0.00,0.99,0
3800,101249,23.01,0.01,0.01,1.01,0
3840,101252,22.99,0.00,0.00,1.00,0
3880,101245,22.97,-0.01,0.01,1.01,0
3920,101254,23.02,0.00,-0.00,1.00,0
3960,101253,22.96,0.01,-0.02,0.99,0
4000,101247,23.03,0.01,0.00,0.98,0
4040,101249,23.15,-0.01,0.01,1.00,0
4080,101252,23.09,-0.01,-0.00,1.00,0
4120,101250,23.06,0.01,0.00,0.99,0
4160,101250,23.06,0.01,0.02,0.98,0
4200,101250,23.00,0.00,0.00,1.02,0
4240,101245,22.96,-0.01,0.01,1.02,0
4280,101250,23.00,-0.00,-0.01,0.98,0
4320,101253,22.92,-0.01,0.02,0.99,0
4360,101251,23.07,0.00,0.01,1.02,0
4400,101249,23.08,-0.01,0.02,0.98,0
4440,101249,23.01,0.00,0.01,0.97,0
4480,101248,22.94,-0.02,0.01,0.99,0
4520,101248,23.09,-0.01,0.02,1.01,0
4560,101247,22.98,-0.00,0.01,0.99,0
4600,101246,23.04,0.01,-0.01,1.00,0
4640,101251,22.88,0.01,-0.01,1.00,0
4680,101248,23.00,-0.01,0.01,0.99,0
4720,101252,23.06,0.01,-0.00,0.98,0
4760,101251,23.02,-0.01,-0.01,0.97,0
4800,101246,23.10,-0.01,0.01,1.03,0
4840,101252,22.99,-0.00,-0.00,1.00,0
4880,101252,22.99,-0.01,0.01,1.01,0
4920,101250,22.99,0.01,-0.00,0.98,0
4960,101253,23.04,-0.01,-0.00,0.98,0
5000,101251,23.01,0.01,0.01,0.99,0
5040,101028,23.00,-0.00,-0.01,1.02,0
5080,100903,23.05,-0.00,0.01,1.00,0
5120,100884,22.99,-0.01,0.00,1.02,0
5160,100847,23.02,-0.01,0.02,1.02,0
5200,100763,23.05,0.01,-0.01,1.01,0
5240,100700,23.04,0.01,0.01,1.00,0
5280,100711,22.97,0.00,-0.02,1.01,0
5320,100720,23.09,0.01,0.00,0.99,0
5360,100625,23.08,-0.01,-0.00,0.99,0
5400,100413,22.97,0.01,0.01,1.03,0
5440,100202,22.97,0.01,-0.00,1.01,0
5480,100084,23.04,0.00,0.02,1.00,0
5520,100018,22.96,0.00,0.01,0.98,0
5560,99927,22.93,-0.02,-0.00,1.00,0
5600,99806,23.00,0.01,-0.01,1.01,0
5640,99750,23.00,0.01,0.02,0.98,0
5680,99796,23.01,0.00,0.01,1.00,0
5720,99834,22.95,0.00,-0.03,1.00,0
5760,99764,23.07,0.01,-0.01,1.00,0
5800,99580,23.03,-0.00,-0.02,1.01,0
5840,99405,23.01,-0.01,0.00,0.99,0
5880,99302,23.00,-0.00,-0.01,1.01,0
5920,99203,22.98,-0.00,0.02,1.02,0
5960,99056,22.99,0.00,-0.00,0.99,0
6000,98905,23.04,0.01,-0.01,1.01,0
6040,98843,23.01,0.00,-0.01,1.00,0
