zaman_s,irtifa_m,olay
0.00,0,
0.05,0,
0.10,0,
0.15,0,
0.20,0,
0.25,0,
0.30,0,
0.35,0,
0.40,0,
0.45,0,
0.50,0,
0.55,0,
0.60,0,
0.65,0,
0.70,0,
0.75,0,
0.80,0,
0.85,0,
0.90,0,
0.95,0,
1.00,0,
1.05,0,
1.10,0,
1.15,0,
1.20,0,
1.25,0,
1.30,0,
1.35,0,
1.40,0,
1.45,0,
1.50,0,
1.55,0,
1.60,0,
1.65,0,
1.70,0,
1.75,0,
1.80,0,
1.85,0,
1.90,0,
1.95,0,
2.00,0,
2.05,0,
2.10,0,
2.15,0,
2.20,0,
2.25,0,
2.30,0,
2.35,0,
2.40,0,
2.45,0,
2.50,0,
2.55,0,
2.60,0,
2.65,0,
2.70,0,
2.75,0,
2.80,0,
2.85,0,
2.90,0,
2.95,0,
3.00,0,
3.05,0,
3.10,0,
3.15,0,
3.20,0,
3.25,0,
3.30,0,
3.35,0,
3.40,0,
3.45,0,
3.50,0,
3.55,0,
3.60,1,
3.65,3,
3.70,6,
3.75,10,
3.80,15,
3.85,20,
3.90,25,
3.95,31,
4.00,37,
4.05,44,
4.10,51,
4.15,59,
4.20,66,
4.25,73,
4.30,80,
4.35,86,
4.40,93,
4.45,101,
4.50,108,
4.55,116,
4.60,124,
4.65,131,
4.70,138,
4.75,145,
4.80,152,
4.85,159,
4.90,166,
4.95,174,
5.00,182,
5.05,189,
5.10,196,
5.15,203,
5.20,210,
5.25,217,
5.30,224,
5.35,232,
5.40,239,
5.45,247,
5.50,254,
5.55,261,
5.60,268,
5.65,274,
5.70,281,
5.75,288,
5.80,296,
5.85,303,
5.90,310,
5.95,317,
6.00,324,
6.05,331,
6.10,337,
6.15,344,
6.20,351,
6.25,358,
6.30,365,
6.35,372,
6.40,379,
6.45,386,
6.50,392,
6.55,399,
6.60,405,
6.65,412,
6.70,419,
6.75,427,
6.80,433,
6.85,440,
6.90,446,
6.95,453,
7.00,459,
7.05,466,
7.10,473,
7.15,480,
7.20,487,
7.25,493,
7.30,499,
7.35,506,
7.40,512,
7.45,518,
7.50,525,
7.55,532,
7.60,539,
7.65,545,
7.70,552,
7.75,558,
7.80,564,
7.85,570,
7.90,576,
7.95,583,
8.00,590,
8.05,596,
8.10,603,
8.15,609,
8.20,615,
8.25,621,
8.30,627,
8.35,633,
8.40,640,
8.45,646,
8.50,653,
8.55,659,
8.60,665,
8.65,671,
8.70,677,
8.75,683,
8.80,689,
8.85,696,
8.90,702,
8.95,709,
9.00,715,
9.05,720,
9.10,726,
9.15,732,
9.20,738,
9.25,744,
9.30,750,
9.35,757,
9.40,763,
9.45,769,
9.50,774,
9.55,780,
9.60,785,
9.65,791,
9.70,798,
9.75,804,
9.80,810,
9.85,816,
9.90,822,
9.95,827,
10.00,832,
10.05,838,
10.10,844,
10.15,850,
10.20,856,
10.25,862,
10.30,868,
10.35,874,
10.40,879,
10.45,884,
10.50,890,
10.55,896,
10.60,902,
10.65,908,
10.70,914,
10.75,919,
10.80,924,
10.85,930,
10.90,935,
10.95,940,
11.00,946,
11.05,952,
11.10,958,
11.15,964,
11.20,969,
11.25,974,
11.30,979,
11.35,984,
11.40,990,
11.45,996,
11.50,1002,
11.55,1007,
11.60,1013,
11.65,1018,
11.70,1023,
11.75,1028,
11.80,1033,
11.85,1039,
11.90,1044,
11.95,1050,
12.00,1055,
12.05,1061,
12.10,1066,
12.15,1070,
12.20,1075,
12.25,1081,
12.30,1086,
12.35,1092,
12.40,1097,
12.45,1103,
12.50,1108,
12.55,1113,
12.60,1117,
12.65,1122,
12.70,1127,
12.75,1133,
12.80,1138,
12.85,1144,
12.90,1149,
12.95,1154,
13.00,1158,
13.05,1163,
13.10,1168,
13.15,1173,
13.20,1178,
13.25,1184,
13.30,1189,
13.35,1194,
13.40,1199,
13.45,1203,
13.50,1208,
13.55,1213,
13.60,1218,
13.65,1223,
13.70,1228,
13.75,1233,
13.80,1238,
13.85,1243,
13.90,1247,
13.95,1251,
14.00,1256,
14.05,1262,
14.10,1267,
14.15,1272,
14.20,1277,
14.25,1282,
14.30,1286,
14.35,1290,
14.40,1295,
14.45,1300,
14.50,1305,
14.55,1310,
14.60,1315,
14.65,1319,
14.70,1324,
14.75,1328,
14.80,1332,
14.85,1337,
14.90,1341,
14.95,1346,
15.00,1352,
15.05,1356,
15.10,1361,
15.15,1365,
15.20,1369,
15.25,1373,
15.30,1378,
15.35,1383,
15.40,1388,
15.45,1393,
15.50,1397,
15.55,1401,
15.60,1405,
15.65,1409,
15.70,1414,
15.75,1418,
15.80,1423,
15.85,1428,
15.90,1432,
15.95,1437,
16.00,1441,
16.05,1445,
16.10,1449,
16.15,1453,
16.20,1458,
16.25,1462,
16.30,1467,
16.35,1472,
16.40,1476,
16.45,1480,
16.50,1484,
16.55,1488,
16.60,1492,
16.65,1496,
16.70,1501,
16.75,1506,
16.80,1510,
16.85,1514,
16.90,1518,
16.95,1521,
17.00,1525,
17.05,1530,
17.10,1534,
17.15,1539,
17.20,1543,
17.25,1547,
17.30,1551,
17.35,1555,
17.40,1559,
17.45,1562,
17.50,1567,
17.55,1571,
17.60,1576,
17.65,1580,
17.70,1584,
17.75,1588,
17.80,1591,
17.85,1595,
17.90,1599,
17.95,1603,
18.00,1607,
18.05,1612,
18.10,1616,
18.15,1620,
18.20,1623,
18.25,1627,
18.30,1630,
18.35,1634,
18.40,1638,
18.45,1643,
18.50,1647,
18.55,1651,
18.60,1655,
18.65,1658,
18.70,1661,
18.75,1665,
18.80,1669,
18.85,1673,
18.90,1677,
18.95,1682,
19.00,1685,
19.05,1688,
19.10,1692,
19.15,1696,
19.20,1699,
19.25,1703,
19.30,1707,
19.35,1711,
19.40,1715,
19.45,1719,
19.50,1722,
19.55,1726,
19.60,1729,
19.65,1732,
19.70,1737,
19.75,1741,
19.80,1744,
19.85,1748,
19.90,1752,
19.95,1755,
20.00,1758,
20.05,1762,
20.10,1766,
20.15,1770,
20.20,1773,
20.25,1777,
20.30,1781,
20.35,1784,
20.40,1787,
20.45,1790,
20.50,1794,
20.55,1797,
20.60,1801,
20.65,1805,
20.70,1809,
20.75,1812,
20.80,1815,
20.85,1818,
20.90,1821,
20.95,1824,
21.00,1828,
21.05,1832,
21.10,1836,
21.15,1839,
21.20,1842,
21.25,1845,
21.30,1849,
21.35,1852,
21.40,1855,
21.45,1859,
21.50,1863,
21.55,1866,
21.60,1869,
21.65,1872,
21.70,1875,
21.75,1878,
21.80,1881,
21.85,1885,
21.90,1888,
21.95,1892,
22.00,1895,
22.05,1899,
22.10,1902,
22.15,1904,
22.20,1907,
22.25,1911,
22.30,1914,
22.35,1918,
22.40,1921,
22.45,1925,
22.50,1928,
22.55,1930,
22.60,1933,
22.65,1936,
22.70,1939,
22.75,1943,
22.80,1946,
22.85,1950,
22.90,1953,
22.95,1956,
23.00,1958,
23.05,1961,
23.10,1964,
23.15,1967,
23.20,1971,
23.25,1974,
23.30,1977,
23.35,1980,
23.40,1983,
23.45,1986,
23.50,1988,
23.55,1991,
23.60,1994,
23.65,1998,
23.70,2001,
23.75,2004,
23.80,2007,
23.85,2010,
23.90,2012,
23.95,2015,
24.00,2018,
24.05,2021,
24.10,2025,
24.15,2028,
24.20,2031,
24.25,2034,
24.30,2036,
24.35,2039,
24.40,2041,
24.45,2044,
24.50,2047,
24.55,2051,
24.60,2054,
24.65,2057,
24.70,2059,
24.75,2061,
24.80,2064,
24.85,2067,
24.90,2070,
24.95,2073,
25.00,2076,
25.05,2079,
25.10,2082,
25.15,2084,
25.20,2086,
25.25,2089,
25.30,2091,
25.35,2095,
25.40,2098,
25.45,2101,
25.50,2104,
25.55,2106,
25.60,2109,
25.65,2111,
25.70,2113,
25.75,2116,
25.80,2119,
25.85,2122,
25.90,2125,
25.95,2128,
26.00,2130,
26.05,2132,
26.10,2134,
26.15,2137,
26.20,2140,
26.25,2143,
26.30,2146,
26.35,2149,
26.40,2152,
26.45,2154,
26.50,2156,
26.55,2158,
26.60,2161,
26.65,2163,
26.70,2166,
26.75,2169,
26.80,2172,
26.85,2174,
26.90,2176,
26.95,2178,
27.00,2181,
27.05,2183,
27.10,2186,
27.15,2189,
27.20,2192,
27.25,2194,
27.30,2196,
27.35,2199,
27.40,2201,
27.45,2203,
27.50,2205,
27.55,2208,
27.60,2211,
27.65,2214,
27.70,2216,
27.75,2218,
27.80,2220,
27.85,2222,
27.90,2225,
27.95,2228,
28.00,2230,
28.05,2233,
28.10,2235,
28.15,2238,
28.20,2240,
28.25,2242,
28.30,2244,
28.35,2246,
28.40,2249,
28.45,2251,
28.50,2254,
28.55,2257,
28.60,2259,
28.65,2261,
28.70,2263,
28.75,2265,
28.80,2267,
28.85,2269,
28.90,2272,
28.95,2275,
29.00,2277,
29.05,2279,
29.10,2281,
29.15,2283,
29.20,2285,
29.25,2287,
29.30,2290,
29.35,2293,
29.40,2295,
29.45,2297,
29.50,2299,
29.55,2301,
29.60,2303,
29.65,2305,
29.70,2308,
29.75,2310,
29.80,2312,
29.85,2314,
29.90,2317,
29.95,2319,
30.00,2320,
30.05,2322,
30.10,2325,
30.15,2327,
30.20,2329,
30.25,2332,
30.30,2334,
30.35,2336,
30.40,2337,
30.45,2339,
30.50,2341,
30.55,2343,
30.60,2346,
30.65,2348,
30.70,2351,
30.75,2353,
30.80,2354,
30.85,2356,
30.90,2358,
30.95,2359,
31.00,2362,
